place;sport;sport;liga_id;liga_name;is_top;
;;Хоккей;15010;Швейцария. Swiss League;0;
;;football;5956496;Friendly matches;1; Завсит от конкретных матчей, может быть как топ может быть как шлак
;;football;5172755;Gambia. Second Division;0;
;;football;52186;Women. Friendly matches;0;
;;football;3688261;Jordan. League Cup. Group stage;0;
;;football;6954;Cyprus Cup. 1/8 finals. Second Leg;0;
;;football;76517;Saudi Arabia. First Division;0;
;;football;1623365;Tanzania. Premier League;0;
;;football;68877;Qatar. League 2;0;
;;football;5733044;Guatemala. Reserve league;0;
;;football;11906;UAE. Pro League;1;
;;hockey;1928636;KHL. Regular Season;2;
;;hockey;1620967;Finland. Liiga;1;Вообще финляндия сильная лига, но до топа думаю чутка не дотягивает
;;hockey;1607225;Slovakia. Tipsport League;0;
;;hockey;4850777;Czech Republic. 1st League. Play-out group;;
;;hockey;5890260;Czech Republic. 1.Liga. Promotion Round;;
;;hockey;506377;VHL. Regular Season;2;
;;hockey;492979;Belarus. Extraliga;1;
;;football;13802;Russia. Premier League;2;
;;football;166680;England. FA Cup. Play-off. 1/16 finals. Replay;2;
;;football;5478397;Italian Cup. Semi-Finals. First leg;2;
;;football;2370225;Belgium. Pro League. Reserve;0;
;;football;1488;Greek Cup. Play-off. Quarter Finals. First leg;1;
;;football;2531310;Hungary. League NB II;0;
;;football;15520;Women. Olympic Games qualification tournament. CONCACAF;0;
;;hockey;5158684;NHL. Matchday statistics;;это я так понимаю статистика скорее всего 0
;;hockey;2663362;Alps Hockey League. Regular championship;0;
;;football;812;France. Coupe de France. Play-off. 1/8 finals;2;Но у меня один аккаунт фонбет блокнул за этот кубок сразу после возврата ставки в связи с неверными коэффициентами
;;football;5956496;Friendly matches;1; Завсит от конкретных матчей, может быть как топ может быть как шлак
;;football;5172755;Gambia. Second Division;0;
;;football;52186;Women. Friendly matches;0;
;;football;3688261;Jordan. League Cup. Group stage;0;
;;football;6954;Cyprus Cup. 1/8 finals. Second Leg;0;
;;football;76517;Saudi Arabia. First Division;0;
;;football;1623365;Tanzania. Premier League;0;
;;football;68877;Qatar. League 2;0;
;;football;5733044;Guatemala. Reserve league;0;
;;football;11906;UAE. Pro League;1;
;;hockey;1928636;KHL. Regular Season;2;
;;hockey;1620967;Finland. Liiga;1;Вообще финляндия сильная лига, но до топа думаю чутка не дотягивает
;;hockey;1607225;Slovakia. Tipsport League;0;
;;hockey;4850777;Czech Republic. 1st League. Play-out group;;
;;hockey;5890260;Czech Republic. 1.Liga. Promotion Round;;
;;hockey;506377;VHL. Regular Season;2;
;;hockey;492979;Belarus. Extraliga;1;
;;football;13802;Russia. Premier League;2;
;;football;166680;England. FA Cup. Play-off. 1/16 finals. Replay;2;
;;football;5478397;Italian Cup. Semi-Finals. First leg;2;
;;football;2370225;Belgium. Pro League. Reserve;0;
