liga_name;is_top;
Kenya. Super League;0
Algeria. League 1 (U21);0
Turkey. 2 Lig. Red Group;0
Paraguay. Reserve League;0
Germanay. Bundesliga (U19). South/South-West;0
Friendly tournaments. Iceland. Classification round;0
Turkey. (U19);0
Friendly tournaments. Iceland. Play-off. Match for 3rd place;0
Slovakia. Extraliga (U20);0
Spain Primera Nacional, Women, Group I;0
Women. Spain. Primera Nacional;0
Guatemala. Primera Division;0
Iceland. Northern Cup;0
France. IV Division;0
Cuba. Campeonato Nacional;0
Mexico. Segunda Division. Serie B;0
Barbados. Premier League;0
Antigua and Barbuda. Premier Division;0
Women. Guatemala. National league;0
Barbados Championship;0
Fiji. National Football League;0
Canada. BCHL;0
Slovakia. Winter tournament. Group stage. Bratislava;1
Myanmar. U19 Championship;0
